File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage 1-00,8413.824,18.859,26.525,31.743,16.385,8416.263,17.275,24.937,31.575,18.706,8379.700,7.855,9.962,16.713,12.261,8399.160,17.806,22.823,28.656,17.824,8423.976,11.825,12.630,24.177,19.443,8496.187,19.843,41.433,36.750,21.455,8397.127,18.927,34.583,37.079,20.462,8525.848,21.321,69.647,62.762,25.661,8418.546,27.883,56.750,49.735,26.172,8453.845,18.588,39.380,41.381,20.682,8804.762,44.328,33.852,50.796,32.143,8479.477,35.070,46.899,53.910,33.276,8439.109,22.709,33.853,51.000,28.664,8602.313,51.553,71.155,85.747,47.721
Omar2-Sleep stage 1-01,8353.814,16.616,22.980,30.982,16.561,8460.600,16.772,17.687,26.147,25.131,8389.760,9.296,8.656,12.520,11.825,8432.477,21.094,17.670,26.046,22.461,8452.221,10.264,11.693,20.184,19.323,8516.109,52.584,47.966,57.604,37.127,8395.659,15.244,37.627,37.456,16.233,8626.769,38.328,46.240,56.454,33.961,8431.106,18.952,28.970,37.069,23.438,8439.966,15.725,19.720,35.509,24.121,8663.698,67.316,43.843,70.093,49.405,8464.209,21.772,30.154,38.820,24.511,8623.999,48.688,36.160,54.498,30.055,8532.618,40.865,49.129,87.119,51.227
Omar2-Sleep stage 1-02,8337.417,23.306,23.989,32.569,16.907,8424.690,17.867,24.468,27.493,17.465,8402.101,8.858,10.670,15.403,11.914,8454.661,15.476,14.666,27.791,18.386,8415.805,12.853,12.194,23.493,18.221,8438.568,38.630,44.614,42.721,26.575,8420.695,19.782,46.377,39.001,14.682,8708.444,20.931,80.911,54.922,24.428,8446.905,16.277,55.691,40.001,23.584,8472.949,16.485,36.371,28.952,24.294,8543.724,59.787,39.682,36.125,24.654,8433.231,31.640,26.713,34.296,19.832,8417.820,26.195,32.786,43.355,31.210,8464.633,51.143,52.550,71.721,40.924
Omar2-Sleep stage 1-03,8420.207,13.853,36.637,33.733,17.472,8424.330,9.807,29.002,29.463,17.811,8537.085,20.380,15.398,23.301,14.793,8568.278,30.644,21.939,32.427,18.237,8424.280,6.832,11.049,21.171,18.273,8805.447,81.724,67.007,110.066,61.990,8422.044,21.387,54.239,41.872,15.492,8476.709,42.845,64.687,53.496,26.871,8428.096,18.754,38.177,42.158,19.811,8414.419,22.315,22.116,30.994,22.593,8583.040,72.899,51.097,62.277,36.537,8452.163,19.998,28.230,32.790,18.338,8436.631,20.602,21.797,34.065,21.551,8442.946,60.709,73.186,83.136,36.779
Omar2-Sleep stage 1-04,8436.652,26.313,27.803,37.938,16.950,8466.690,19.407,23.185,26.743,16.792,8539.410,33.218,21.158,29.542,22.307,8589.883,50.944,29.908,48.907,37.733,8430.237,18.981,14.943,22.080,19.456,8770.570,93.062,76.535,97.152,60.047,8411.399,14.160,48.616,37.925,15.342,8338.635,18.387,47.356,51.331,23.478,8447.378,16.600,29.546,43.451,24.530,8415.186,16.673,21.350,36.131,23.925,8654.274,75.199,47.414,69.224,48.125,8496.889,27.688,31.500,39.455,22.454,8460.049,33.952,31.685,43.052,23.801,8603.319,80.541,65.797,123.910,49.754
Omar2-Sleep stage 1-05,8421.798,16.506,25.802,31.924,11.952,8359.649,13.243,21.444,31.539,16.059,8359.983,5.331,7.857,17.670,11.511,8357.168,13.783,13.970,33.918,19.946,8374.132,5.715,13.047,20.781,14.771,8576.957,25.814,42.168,30.593,17.415,8386.361,11.563,50.627,33.608,19.694,8332.765,22.296,74.910,56.579,22.384,8398.483,20.419,51.329,46.985,23.769,8407.576,15.610,32.447,36.747,20.192,8834.841,55.658,50.986,79.049,48.800,8497.043,19.548,28.110,34.222,15.165,8407.964,21.995,28.495,44.669,24.198,8529.027,45.075,45.558,99.778,43.298
Omar2-Sleep stage 1-06,8421.263,13.933,32.231,28.719,13.699,8384.188,14.613,21.487,25.227,14.810,8387.857,9.491,11.253,18.245,13.696,8434.940,12.069,18.154,23.575,15.765,8445.558,11.482,12.015,23.504,14.720,8536.551,21.781,42.694,53.451,35.182,8387.753,11.723,48.435,38.793,18.285,8378.584,33.904,75.411,59.126,22.571,8385.683,30.956,51.044,49.222,19.609,8423.727,24.015,28.619,42.857,19.266,8757.187,100.153,69.120,90.941,64.006,8432.379,30.192,34.730,48.330,22.125,8491.220,29.043,31.513,47.825,22.643,8497.154,31.199,70.578,82.097,52.230
Omar2-Sleep stage 1-07,8431.178,13.941,20.977,27.587,14.683,8408.492,14.855,22.548,24.571,14.642,8372.642,8.810,9.569,14.400,13.105,8405.505,14.521,14.515,22.094,15.951,8410.357,10.882,12.786,23.195,14.478,8795.059,38.602,30.679,33.565,21.638,8425.417,12.645,39.767,37.274,18.485,8468.586,19.152,51.741,47.351,18.232,8404.368,20.641,34.468,33.534,14.852,8475.576,16.370,23.473,29.311,18.910,8590.512,48.895,33.939,38.018,30.607,8507.935,23.266,21.401,28.534,18.826,8488.400,22.682,27.142,40.099,19.212,8425.796,56.737,46.656,79.263,38.190
Omar2-Sleep stage 1-08,8441.845,19.952,37.047,33.370,14.890,8523.831,31.882,28.995,36.902,16.187,8483.357,30.667,17.588,27.233,14.450,8475.887,25.756,26.606,29.810,18.167,8416.711,15.829,13.978,27.144,16.787,8378.463,40.518,75.385,49.822,26.819,8442.501,13.921,72.695,43.757,14.442,8660.690,33.542,79.278,54.135,22.234,8518.410,29.663,40.009,36.959,22.644,8409.127,23.976,26.609,34.042,19.686,8537.658,62.709,40.681,40.166,25.899,8564.258,28.703,45.329,37.640,22.183,8501.676,24.765,37.234,40.710,20.558,8586.688,44.546,45.475,77.129,38.082
Omar2-Sleep stage 1-09,8424.250,16.193,24.840,36.322,18.232,8415.203,13.468,22.702,25.884,13.365,8437.223,10.067,14.001,18.579,12.611,8429.338,11.679,17.438,27.838,18.460,8413.506,10.169,16.964,20.554,15.994,8542.902,20.059,38.156,31.727,20.858,8412.303,12.950,42.823,32.575,17.200,8453.886,41.966,81.491,66.555,30.787,8455.694,26.363,59.114,44.576,20.697,8446.393,18.610,37.783,39.396,22.771,8650.075,63.560,46.652,54.760,40.278,8513.306,24.221,27.280,35.055,18.706,8624.613,16.739,35.031,39.495,21.161,8859.272,118.355,93.177,178.812,91.035
