File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage 1-00,35030709.126,21.312,38.255,20.002,5.049,35072659.824,18.662,36.936,19.394,7.331,34899465.480,4.150,5.801,5.898,3.086,34799057.189,20.163,29.195,15.815,6.233,34975277.197,8.858,8.614,10.790,7.054,34624889.161,25.680,124.027,29.185,9.553,35065940.033,22.791,134.815,27.667,8.296,35677089.650,32.336,360.572,107.969,11.341,34953801.802,47.162,223.574,47.916,13.236,35302322.608,21.014,95.457,33.905,8.512,34527547.738,137.091,63.502,50.310,19.212,34493334.911,79.213,118.087,49.178,15.751,34811236.712,39.125,65.031,44.599,14.681,35157585.339,170.459,283.604,131.587,36.016
Omar2-Sleep stage 1-01,34708623.426,19.468,48.268,19.308,5.202,35411628.931,20.860,27.047,12.326,11.404,35039510.421,6.472,5.733,2.954,2.766,35054095.978,32.759,24.943,12.335,9.317,35350778.002,9.088,7.821,6.759,7.639,34512415.351,174.523,169.190,57.891,20.804,35117944.460,17.693,134.972,27.337,5.417,36085212.650,100.197,134.664,62.852,18.040,35141025.978,22.378,47.358,28.660,9.604,35243881.396,14.911,23.517,23.410,10.405,34974911.575,369.126,97.110,83.914,37.669,34742611.339,39.394,63.752,26.760,10.315,35771324.860,149.280,81.776,50.271,17.032,34985008.849,114.307,167.394,124.862,54.116
Omar2-Sleep stage 1-02,34581230.057,36.410,36.428,19.605,4.887,35313926.003,26.161,31.966,13.617,6.867,35131214.506,5.654,5.777,4.071,2.840,35227526.058,18.566,12.960,12.949,6.877,35295796.113,12.088,8.135,9.701,6.718,34335162.549,100.557,119.864,34.119,13.672,35249177.575,23.582,139.313,38.022,4.314,37330963.296,35.147,401.472,52.109,12.041,35281109.015,19.057,211.085,29.616,10.892,35450325.739,25.497,92.602,14.468,11.484,33784379.075,263.065,99.585,27.895,13.214,35072002.298,76.918,42.449,21.849,7.172,34837969.767,50.054,60.690,32.514,18.282,34716757.747,176.055,173.846,90.111,35.310
Omar2-Sleep stage 1-03,35118058.655,13.881,79.530,20.524,5.988,35267547.732,6.174,49.082,16.020,6.114,35890425.614,25.459,14.251,9.274,3.448,36054559.786,68.317,30.385,18.363,6.141,35184140.088,3.497,8.365,8.104,6.156,35843709.620,451.126,277.983,189.629,51.523,35278716.023,27.512,198.893,36.425,4.572,34959092.869,110.002,263.905,51.972,11.626,35197661.682,28.771,95.150,35.164,8.011,34956772.260,34.346,26.276,18.002,9.063,35021673.142,426.494,141.057,65.821,19.023,35247970.308,25.245,43.138,22.031,6.442,34934498.853,28.824,25.308,22.912,9.155,34580816.269,267.264,291.305,132.603,27.192
Omar2-Sleep stage 1-04,35241656.508,41.362,50.604,28.035,5.310,35312707.416,26.101,34.767,12.812,5.087,35624176.347,67.315,22.549,14.842,7.324,35551889.023,159.176,46.795,40.429,21.721,35163604.053,22.207,13.097,8.759,6.258,35227711.208,536.709,291.617,162.739,48.425,35181958.400,13.886,159.963,33.053,4.123,34481752.831,22.484,129.735,54.913,10.654,35305376.952,19.704,54.449,36.300,10.968,34939630.278,20.961,24.503,25.331,10.986,35409292.392,403.733,130.074,84.704,34.783,35265219.033,53.681,56.519,33.498,9.087,35120307.546,79.808,57.635,40.376,10.262,35765642.968,458.042,239.841,294.527,54.075
Omar2-Sleep stage 1-05,35261636.364,16.854,40.725,18.373,2.568,34715900.232,11.763,27.863,19.196,4.904,34776923.643,1.820,3.599,5.630,2.257,34399456.347,15.980,14.452,20.313,7.348,34775415.141,2.262,9.821,8.520,4.262,35076351.497,49.099,106.986,19.207,5.911,34979097.712,9.514,174.611,22.352,8.084,34350238.651,31.222,334.503,66.419,11.397,34917389.179,27.751,146.172,44.558,11.506,35027337.854,14.797,58.956,25.498,8.216,36129650.594,217.577,139.936,108.633,34.922,35013971.828,25.873,49.067,20.670,4.456,34785306.009,30.739,51.056,34.938,10.649,34812823.468,172.066,123.866,190.939,41.843
Omar2-Sleep stage 1-06,35206646.511,15.055,72.918,16.765,4.059,34837280.558,14.816,33.555,12.953,3.778,34946692.560,6.280,7.758,6.186,3.362,35288626.325,9.580,23.277,10.710,4.632,35318107.761,8.698,7.443,10.806,4.200,34523745.428,36.700,112.923,56.279,19.651,34987625.642,8.373,211.802,30.593,6.698,34723997.805,73.065,369.785,68.032,10.499,34780733.792,62.347,146.096,45.400,9.962,35077988.578,37.147,53.167,33.045,9.470,34489445.149,626.413,258.771,136.477,55.880,34734268.803,65.554,85.720,40.803,7.699,35244855.021,65.958,67.304,40.139,9.505,34932931.725,65.984,293.613,117.976,49.817
Omar2-Sleep stage 1-07,35166113.295,14.413,38.757,13.270,4.112,35089256.413,16.710,33.888,10.571,4.021,34890583.946,5.410,7.120,4.077,3.061,34910531.864,15.800,16.839,8.561,5.323,35037889.668,8.438,8.821,9.745,4.260,36257393.704,121.263,84.144,21.348,8.258,35182712.164,11.769,162.033,26.376,5.465,35318385.361,23.325,191.224,43.454,6.753,34882761.677,25.260,76.079,23.947,4.330,35432900.366,17.042,34.270,17.443,6.586,34479675.875,189.537,74.035,25.934,13.455,35026233.678,41.237,34.364,14.385,6.433,35011525.879,32.103,45.699,27.450,6.453,34191652.515,202.205,110.719,106.049,24.958
Omar2-Sleep stage 1-08,35274180.520,24.486,80.497,22.308,4.481,35278397.470,74.395,59.472,27.117,5.324,34855353.361,66.044,23.624,13.806,3.965,35035096.946,44.868,48.164,15.348,6.675,34999013.662,16.477,11.549,14.018,5.571,33979888.075,103.841,316.990,45.612,10.692,35146536.959,14.887,305.389,43.480,3.830,36287034.964,71.738,577.157,61.553,9.660,35417150.925,66.678,156.589,28.630,10.466,34451851.238,43.344,49.385,20.863,8.220,35062351.683,275.528,94.150,27.429,12.642,35433400.513,58.019,123.848,28.581,9.000,35198197.840,40.686,89.672,27.543,8.350,35713539.841,156.603,130.282,110.227,29.628
Omar2-Sleep stage 1-09,35245825.543,18.804,45.100,26.943,5.727,35096712.324,11.956,32.106,12.947,3.766,35241828.339,6.837,9.588,6.169,3.158,35181922.500,8.780,18.344,14.520,6.585,35152586.631,8.589,16.610,7.453,5.015,35795225.491,28.382,105.185,19.011,8.436,35203558.018,11.421,155.428,26.889,7.034,34870929.935,111.384,381.869,97.180,15.393,35359962.934,43.571,190.151,39.984,9.460,35353024.176,23.600,84.660,28.924,9.786,35663438.178,284.887,116.258,62.573,26.267,35346179.351,41.437,56.675,24.728,6.797,35944412.569,23.389,76.655,33.553,8.818,36456614.325,922.270,503.291,626.630,154.523
Omar2-Sleep stage 1-10,34875308.314,15.789,31.237,14.513,3.421,34818472.823,11.904,18.490,14.124,3.122,34957236.173,2.746,4.267,5.428,2.473,34476137.930,9.527,19.983,12.114,4.520,34845830.512,5.277,4.798,6.863,3.489,36482778.366,96.861,115.434,35.026,11.389,35140216.358,9.733,87.749,14.216,2.433,34458507.141,18.060,122.618,46.069,4.737,34913619.867,30.578,61.105,31.447,6.952,35401023.023,11.082,33.641,21.161,5.194,36481024.951,152.000,113.818,43.084,15.641,35084446.798,32.737,38.426,13.357,6.145,34979925.931,51.997,23.393,30.781,9.244,34631429.649,842.480,285.205,256.009,77.130
Omar2-Sleep stage 1-11,35254818.162,8.444,47.640,22.591,7.064,35235297.014,12.541,31.771,19.116,5.715,35216115.498,4.780,7.330,6.972,3.970,35369296.461,7.023,22.926,13.515,13.351,35204534.970,15.924,7.474,9.491,5.033,35319157.699,103.972,125.339,18.918,8.912,35043692.674,23.030,218.430,27.023,6.438,34756821.342,71.995,509.704,84.588,15.094,34520522.049,59.371,158.215,41.107,13.223,35515876.369,15.943,67.925,27.316,9.977,35487707.266,602.231,174.970,127.073,50.767,34649310.072,42.479,72.546,29.873,12.131,34454976.910,72.181,62.525,35.441,13.955,35269074.961,712.320,175.746,279.365,72.467
Omar2-Sleep stage 1-12,35181561.036,21.196,53.963,20.442,4.546,35308409.011,63.234,49.633,27.261,5.140,35048433.613,56.358,19.715,15.141,3.979,34954785.453,51.931,38.696,24.753,8.291,35387090.015,19.582,12.081,10.387,5.721,34279047.063,142.447,107.550,38.685,14.218,35184356.481,20.175,142.428,22.209,6.207,35203616.124,41.795,257.930,49.283,9.106,34708504.724,45.471,108.346,39.968,10.960,35780915.364,48.605,26.069,24.965,10.666,32859775.819,318.456,54.062,32.885,18.536,35380668.592,60.919,58.674,25.580,7.944,35099247.297,30.745,41.967,24.712,9.009,34191418.496,1267.427,619.656,481.768,85.725
Omar2-Sleep stage 1-13,35357912.919,33.245,43.004,15.414,6.928,35299122.161,15.751,34.909,12.015,5.133,35388775.817,7.025,6.779,5.315,2.730,35256616.925,15.382,20.831,10.244,5.081,35170611.431,12.239,10.290,8.270,7.028,34331208.683,210.574,200.029,93.565,31.453,35088366.404,6.103,98.589,25.869,5.646,35109587.626,25.744,154.854,51.241,10.223,35500244.532,99.899,78.371,43.177,12.490,35325127.087,57.651,57.832,33.643,14.024,36016341.886,99.401,80.441,27.905,10.926,36100945.590,53.547,43.034,22.268,10.023,35670723.649,38.924,46.455,19.988,10.310,35852857.156,3009.567,1171.600,1655.742,459.192
Omar2-Sleep stage 1-14,35284316.230,11.296,63.606,32.831,4.110,35266971.701,6.796,46.743,17.505,5.171,35377262.318,2.043,6.410,4.271,2.810,35255144.361,6.266,23.600,13.269,5.859,35173090.715,10.026,6.719,11.620,5.053,36394695.523,76.826,166.098,50.099,11.184,35253916.997,27.655,243.237,30.185,6.276,35985139.054,70.579,478.116,65.914,10.873,31725252.901,88.602,119.385,60.671,9.278,38198487.175,133.439,46.332,48.566,7.783,35331312.394,325.583,77.533,43.128,19.187,35472903.022,39.371,57.758,30.162,5.461,35299545.534,63.378,58.192,38.669,8.401,35616841.807,1167.947,999.089,698.385,247.825
