File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage W-00,8418.291,18.150,15.862,26.768,13.652,8398.558,11.361,16.870,26.587,16.562,8394.222,6.939,7.293,17.356,12.383,8421.402,10.383,12.406,23.862,16.158,8404.578,7.208,10.555,23.744,15.783,8738.195,57.366,39.617,60.947,37.451,8397.032,9.416,13.878,24.158,15.333,8467.377,19.240,22.933,39.319,18.415,8487.019,40.072,38.665,56.577,38.843,8537.611,37.759,25.841,49.353,26.809,8877.870,139.473,80.681,115.052,69.107,8504.546,24.164,20.232,31.293,24.669,8448.318,33.371,24.595,39.199,37.468,8690.669,224.846,227.694,410.957,226.480
Omar2-Sleep stage W-01,8488.051,21.164,18.734,25.446,13.731,8451.138,10.240,11.489,24.789,16.349,8410.964,6.113,5.775,12.326,13.883,8427.737,10.978,9.819,22.949,16.324,8423.133,7.654,8.125,20.617,18.904,8510.951,44.862,39.668,56.782,37.502,8401.079,9.385,13.444,24.029,16.279,8582.766,16.160,21.132,32.986,18.776,8226.502,47.854,30.891,33.658,22.630,8901.210,34.281,26.215,36.866,23.682,8769.083,71.433,59.942,74.623,48.607,8635.100,30.905,16.605,36.368,22.355,8467.619,30.547,17.731,36.345,26.887,8892.252,129.895,111.668,229.232,137.227
Omar2-Sleep stage W-02,8404.156,16.730,16.054,26.677,15.872,8431.347,12.509,14.716,25.851,17.017,8408.687,5.456,8.241,15.337,12.030,8418.367,11.627,12.977,21.555,13.721,8414.132,10.539,10.961,24.403,17.253,8921.300,105.202,65.706,107.219,72.779,8429.729,12.482,8.193,24.089,17.312,8499.353,23.463,16.685,33.204,20.005,8807.012,54.229,29.944,62.375,41.323,8754.661,41.367,20.518,47.056,27.358,8450.694,44.913,23.309,30.670,21.663,8510.189,30.414,23.411,38.078,23.757,8488.733,18.788,21.287,36.766,27.176,8650.878,129.090,103.003,185.838,90.648
Omar2-Sleep stage W-03,8526.749,17.342,28.041,28.567,15.556,8442.002,14.755,21.660,26.748,18.776,8440.797,8.988,8.836,12.899,10.605,8445.549,11.078,15.121,20.258,16.025,8450.642,13.430,14.295,24.800,16.767,8694.624,103.075,68.805,108.026,66.617,8436.255,10.780,15.863,30.563,14.364,8970.727,68.961,47.192,61.776,33.076,8690.062,235.635,154.547,247.868,151.744,10038.136,201.748,121.135,187.393,113.882,8672.425,43.671,36.990,36.373,23.781,9090.209,87.402,50.683,77.964,52.730,8624.098,33.361,40.551,41.460,24.958,8860.152,136.358,133.006,209.367,114.769
Omar2-Sleep stage W-04,8428.124,19.079,11.227,24.016,16.630,8435.623,11.823,13.742,23.490,15.307,8439.764,7.535,6.873,13.714,10.538,8448.145,15.448,10.614,22.805,14.721,8458.002,9.682,11.626,19.663,14.791,8781.530,37.041,22.124,36.589,20.859,8428.153,9.136,9.366,22.599,15.547,8629.817,87.380,60.693,84.020,58.543,8935.578,285.958,184.541,296.550,179.912,9183.124,245.038,164.223,244.293,162.823,8749.476,52.335,28.483,32.399,20.734,8749.985,78.993,53.171,78.595,55.883,8692.150,48.021,29.048,39.557,28.238,8998.360,219.330,250.676,282.779,189.919
Omar2-Sleep stage W-05,8383.065,14.064,15.055,27.112,16.419,8431.854,12.890,10.616,23.241,15.864,8398.453,7.704,9.339,16.821,12.641,8433.719,18.698,12.784,23.856,13.550,8449.480,8.018,10.474,15.684,15.866,8442.684,37.867,25.930,38.876,27.013,8405.800,6.701,12.200,23.596,16.224,8343.625,40.757,21.467,36.771,23.324,8969.354,109.960,50.984,59.432,35.671,8282.672,99.483,36.633,51.883,36.376,8483.820,58.658,37.459,51.357,26.816,8436.974,41.278,18.607,37.631,19.476,8429.853,18.929,14.323,37.925,27.810,9986.379,257.329,228.844,346.237,166.593
Omar2-Sleep stage W-06,8415.006,17.351,12.090,34.089,16.873,8422.885,13.619,10.316,25.737,15.513,8395.846,6.034,5.503,14.663,9.913,8407.575,9.915,8.664,23.754,13.528,8420.202,10.989,5.798,22.040,15.097,8703.455,46.129,25.855,35.960,27.384,8399.684,12.544,6.786,22.100,17.217,8399.105,26.724,21.878,37.689,21.778,8866.343,66.478,58.751,51.544,26.058,8405.424,56.404,44.319,43.895,28.417,8564.069,77.606,40.424,76.668,47.105,8361.203,33.352,15.952,37.515,23.570,8412.776,22.017,16.281,35.749,25.300,9223.056,339.435,342.812,556.319,247.340
Omar2-Sleep stage W-07,8470.991,14.963,17.827,29.950,16.768,8440.936,9.859,13.474,24.983,14.061,8398.193,5.566,10.272,16.026,13.675,8437.706,10.948,15.931,24.081,17.980,8412.976,11.404,11.591,18.126,14.922,8879.314,30.670,24.972,27.414,20.647,8406.237,13.805,13.272,23.760,15.963,8430.367,34.631,20.565,48.334,25.018,8958.779,109.857,73.148,87.225,55.505,8455.219,80.876,52.132,75.872,45.310,8949.307,133.554,57.891,49.587,21.980,8564.092,24.419,22.324,35.023,19.630,8602.337,32.513,24.253,38.500,24.007,9396.323,632.667,463.514,604.381,338.018
Omar2-Sleep stage W-08,8422.028,11.420,12.616,29.615,15.019,8423.444,13.829,10.965,29.016,15.705,8393.434,9.564,10.019,18.671,11.696,8410.462,12.719,12.333,29.553,15.832,8437.197,10.376,10.724,22.279,14.849,8457.249,32.803,18.500,29.569,15.664,8415.390,12.933,9.543,22.018,14.892,8487.858,31.592,22.132,42.912,22.106,8580.163,91.906,47.626,49.384,33.795,8600.398,76.444,37.342,61.046,33.237,8930.795,102.879,42.065,69.553,34.640,8612.347,40.901,26.589,52.199,28.905,8541.792,27.760,26.180,46.636,26.524,10134.361,616.202,371.426,640.242,340.641
Omar2-Sleep stage W-09,8404.394,9.945,11.486,26.085,15.073,8418.696,13.466,13.657,26.675,18.998,8417.075,9.664,7.254,13.789,12.074,8459.243,12.592,12.583,24.481,20.573,8436.591,12.796,11.908,29.058,18.527,8580.238,39.719,25.246,38.529,22.961,8392.363,12.159,14.543,22.841,16.120,8578.563,40.049,39.554,35.692,27.769,8652.127,108.640,56.494,72.878,40.753,8887.887,93.514,50.248,38.152,27.778,8108.989,36.379,16.129,29.878,19.624,8499.372,45.954,23.588,36.870,24.445,8422.169,28.293,21.423,36.122,26.164,8846.092,257.575,262.005,398.129,228.507
