File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage W-00,35065175.651,21.777,17.614,15.334,3.762,35007804.583,9.183,16.450,13.212,5.169,35120915.816,3.312,3.324,5.167,2.979,35177562.528,7.975,9.524,10.120,5.196,35002076.015,4.234,7.017,9.850,5.585,35557491.585,234.521,73.957,63.487,19.166,35003195.692,6.560,10.565,10.903,4.334,35358650.564,21.327,34.274,31.228,6.368,34779771.506,94.818,77.965,56.391,23.215,35462796.872,89.104,36.886,43.734,11.093,35780662.573,1383.289,380.262,206.399,65.813,35128419.386,45.437,21.606,19.620,11.075,34941245.860,86.172,33.250,27.655,26.578,34977165.737,3547.763,3132.152,2910.362,1177.808
Omar2-Sleep stage W-01,35417557.240,31.318,18.666,12.244,3.618,35307470.653,8.744,6.967,11.178,4.798,35231794.512,2.426,1.998,2.802,3.811,35337410.837,7.642,4.854,9.099,5.321,35319508.972,3.761,3.775,8.053,6.909,34870635.457,131.334,81.598,52.060,20.276,35132044.085,6.021,9.545,10.424,5.602,36166702.732,16.664,25.294,19.432,6.522,32050297.091,142.087,54.817,22.359,9.876,37932502.987,82.970,38.040,25.296,9.843,35933931.030,335.724,200.712,93.978,33.044,36040806.100,68.044,19.523,23.260,8.515,35146422.763,67.162,17.502,24.434,11.650,36976212.198,1666.453,670.071,957.505,381.007
Omar2-Sleep stage W-02,34971221.179,19.888,14.070,12.916,4.591,35188611.762,12.571,11.327,12.109,6.272,35225960.124,2.374,3.685,4.453,2.550,35154413.801,10.031,8.724,8.593,4.088,35002208.431,6.895,6.595,10.412,4.941,35899618.279,676.146,204.464,181.326,68.196,35268489.541,11.400,4.272,10.865,5.502,35304776.043,38.047,15.121,19.698,7.445,34915444.104,203.269,43.663,66.146,25.935,35431050.555,124.679,21.490,42.384,11.705,34205486.028,128.979,28.585,19.589,10.521,34900985.319,72.048,29.930,25.273,9.836,35466752.404,26.816,22.766,24.526,15.143,33787695.602,1385.252,569.487,674.525,157.046
Omar2-Sleep stage W-03,35522705.084,19.072,42.460,14.227,5.160,35348054.923,17.995,26.418,13.195,6.347,35389733.378,6.324,4.252,2.905,2.147,35322633.694,9.672,11.611,7.384,5.155,35319162.473,12.311,12.840,11.109,4.550,34660361.435,667.335,229.808,186.198,57.171,35398064.244,7.558,14.590,20.570,4.103,37534972.983,338.054,112.434,75.369,17.174,29061692.376,4122.131,1232.021,980.207,292.650,41512827.844,2968.059,710.092,556.962,167.389,35744117.775,162.865,68.756,23.171,10.384,37827717.049,534.016,131.654,100.891,39.067,36044250.972,79.282,83.869,34.092,12.141,36885117.377,1131.663,1055.403,821.798,231.329
Omar2-Sleep stage W-04,35072241.193,28.835,7.594,11.135,5.771,35158539.684,9.510,10.897,10.561,4.307,35429636.042,5.049,2.371,3.364,1.991,35427820.823,16.590,6.941,9.702,3.896,35378949.213,6.475,7.200,7.021,3.625,36083433.359,93.425,24.505,25.184,7.202,35288708.122,5.670,5.644,9.371,4.815,35464966.545,464.001,179.039,116.421,45.605,33495270.048,4938.175,1622.689,1345.593,406.987,36483299.395,3634.868,1281.215,915.455,334.241,35802979.843,174.415,49.983,19.829,8.274,35883317.395,374.147,144.608,103.577,41.885,35858969.877,167.630,44.739,29.460,15.103,35298870.995,3282.843,3796.850,1595.900,700.276
Omar2-Sleep stage W-05,34910881.210,14.379,12.380,13.199,5.462,35248073.370,10.704,7.620,9.715,5.332,35156213.864,3.643,4.887,4.936,3.439,35212602.428,23.806,8.294,10.420,3.657,35341859.847,4.389,6.723,4.726,4.510,34400782.931,94.286,39.349,29.101,11.888,35165209.787,4.342,8.418,9.840,4.815,34187862.693,143.515,25.707,25.194,9.820,38367340.784,868.610,146.323,61.795,22.174,32597529.794,765.085,78.169,48.273,19.417,34868608.026,237.265,71.717,43.299,12.476,34099481.702,119.824,23.125,25.638,7.051,34702836.848,22.848,12.528,25.728,14.118,38878432.232,4815.141,2644.086,2097.092,546.062
Omar2-Sleep stage W-06,35212804.971,20.338,8.268,19.641,5.404,35154038.328,12.553,5.377,10.950,5.183,35111637.277,2.691,1.687,3.956,1.735,35129593.606,7.291,4.464,9.892,3.442,35184496.425,8.148,1.955,9.284,4.522,35385790.405,166.147,35.634,22.550,11.567,35108742.768,11.716,3.040,9.876,5.548,34567124.408,51.624,26.520,28.566,8.602,36933020.374,273.153,184.398,46.020,10.856,33649455.102,209.307,114.652,36.995,13.115,34614842.582,404.322,77.557,103.324,30.732,33785365.610,73.631,13.988,24.960,10.562,34795007.694,35.808,15.213,24.646,11.943,36291078.999,11988.225,7747.575,5585.551,1327.713
Omar2-Sleep stage W-07,35412770.531,14.392,17.868,16.669,5.152,35253760.500,6.952,11.549,12.371,4.459,35200328.728,1.938,5.566,4.603,3.481,35420600.438,8.201,12.851,9.677,6.738,34944231.466,8.563,8.176,6.284,4.212,36200263.158,74.284,32.778,14.259,7.983,35197218.310,13.875,10.105,10.364,4.661,34736206.817,77.836,23.504,47.665,10.749,37161190.221,947.015,291.980,141.351,44.939,33801527.893,538.825,138.823,100.412,29.259,36506141.948,1198.386,170.940,54.308,9.522,35891929.869,39.866,27.324,21.638,8.572,35746936.943,85.457,35.452,27.579,10.746,32968074.778,29193.550,12493.138,6620.685,2046.445
Omar2-Sleep stage W-08,35153924.532,9.256,7.884,14.971,4.302,35095587.465,12.524,7.570,15.090,6.198,35104595.094,6.092,5.554,6.063,2.633,34976105.983,12.814,8.623,15.424,5.281,35194331.135,6.610,7.065,8.650,4.243,34628355.789,72.253,19.618,17.218,4.322,35189013.662,10.731,5.613,8.972,4.541,35340068.827,87.010,29.600,33.053,7.973,35431559.163,627.136,115.903,47.230,19.052,35482716.488,497.959,94.842,62.892,17.476,36641016.438,891.382,88.791,88.928,17.873,35208233.458,150.288,44.924,50.388,14.126,35187539.772,70.550,41.548,38.246,12.478,30009524.373,26695.349,7240.869,7696.654,2166.843
Omar2-Sleep stage W-09,34881679.130,7.685,8.642,12.257,4.332,35133805.991,12.251,10.860,11.977,6.784,35175759.579,6.531,2.936,3.122,2.686,35278345.583,11.278,10.316,10.227,8.176,35182930.151,11.041,8.686,14.514,5.810,35163277.161,106.048,33.527,27.151,8.562,34966377.244,9.648,13.347,12.316,5.179,34756539.660,106.482,92.432,23.292,13.152,33264313.542,892.969,219.676,94.390,28.278,35795725.229,603.682,153.105,29.157,13.256,31485352.088,83.789,15.263,16.460,6.593,34319612.557,149.170,33.070,23.752,10.177,34162779.239,78.672,28.479,24.416,13.000,35390808.051,4485.718,4094.368,2863.104,1270.105
