File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage W-00,171.279,22.551,26.625,18.734,3.728,151.155,13.124,22.076,16.442,3.936,18.432,3.865,3.023,4.243,2.384,95.109,7.599,9.809,9.340,3.934,157.328,4.256,3.757,10.905,4.299,3093.493,79.302,24.463,15.966,5.455,20.313,7.473,11.546,10.291,2.827,139.701,5.987,51.865,27.823,4.936,239.802,11.080,44.040,29.825,8.859,217.070,6.903,28.636,21.627,4.754,9108.866,237.586,32.423,30.614,8.515,849.003,33.238,24.285,18.208,7.707,381.508,53.239,28.809,25.243,18.252,16147.499,2344.792,4147.577,2733.524,1045.752
Omar2-Sleep stage W-01,200.202,8.797,5.262,9.728,1.582,168.626,7.579,4.379,13.281,4.470,11.210,1.596,1.025,2.412,2.653,16.390,10.185,3.934,10.093,5.713,15.036,3.604,3.769,7.998,6.092,1241.176,18.403,8.207,17.120,5.658,33.707,5.923,5.742,15.192,5.429,512.529,18.999,15.416,17.786,6.743,5358.176,138.167,34.501,15.801,6.801,3335.097,37.709,29.399,23.807,5.619,5242.492,83.515,39.021,13.919,6.016,2046.716,29.646,15.541,16.433,5.730,440.658,32.495,16.868,26.485,9.940,5917.535,1840.203,819.313,868.876,268.597
Omar2-Sleep stage W-02,48.494,20.185,18.603,11.069,2.900,82.893,12.241,8.522,10.144,5.695,12.878,3.948,4.094,4.671,2.544,102.468,9.618,7.998,9.072,3.845,51.684,2.033,2.980,6.445,3.795,2470.468,24.802,3.292,12.651,7.951,48.441,9.100,3.891,9.666,5.249,452.391,31.420,17.925,17.445,6.358,9401.434,38.518,21.831,23.987,11.730,4981.042,30.199,15.509,20.752,9.764,5236.710,149.409,17.253,16.863,10.453,1001.418,62.540,32.195,15.173,9.967,171.339,31.548,42.440,20.202,11.415,10996.607,1516.448,812.336,648.484,160.829
Omar2-Sleep stage W-03,346.407,19.341,49.937,15.961,6.212,53.228,7.202,21.323,9.469,4.729,61.111,5.431,4.941,2.567,2.442,95.773,5.466,12.147,5.764,4.160,134.502,3.252,7.370,9.204,4.049,5898.143,58.209,22.565,22.477,6.970,22.297,6.511,15.386,15.324,3.354,2579.725,120.618,36.127,27.903,3.831,33826.955,1432.614,168.800,75.345,10.937,24482.041,983.405,66.309,37.021,8.706,3932.746,83.331,67.951,16.466,8.773,2291.814,49.419,29.013,19.121,8.682,471.896,41.998,52.372,22.109,8.472,6666.724,789.720,903.539,898.210,157.033
Omar2-Sleep stage W-04,206.644,19.797,5.705,9.395,7.055,333.586,6.649,7.567,9.746,4.156,51.006,1.905,1.646,3.056,1.955,26.341,12.274,7.238,12.162,5.264,157.848,2.073,2.852,5.331,4.818,6482.567,102.553,10.784,15.824,6.796,71.059,8.336,4.889,9.643,5.283,403.373,86.428,22.104,15.533,6.530,2745.695,140.882,82.337,23.450,11.467,3152.669,224.940,71.672,20.067,7.768,15051.910,183.089,33.032,14.793,10.868,4192.243,53.939,20.178,14.519,8.128,5108.525,87.242,23.018,15.225,11.389,13228.854,3790.981,1801.285,1520.188,944.504
Omar2-Sleep stage W-05,27.818,8.511,12.623,9.260,6.384,104.493,5.057,10.473,9.982,5.489,5.700,1.755,5.284,5.198,3.050,49.526,5.319,9.361,7.901,4.042,221.350,1.295,4.081,3.676,6.592,1481.472,70.462,10.005,14.718,9.557,22.553,3.266,5.158,9.997,5.684,572.324,131.713,22.931,23.908,8.099,4013.162,782.735,97.576,43.266,11.087,3796.329,674.593,53.256,17.506,7.021,1413.932,130.825,36.215,26.774,9.409,4710.494,72.214,19.841,14.613,7.030,1048.409,21.002,9.286,19.710,15.003,104487.926,2305.674,2315.423,2223.614,506.733
Omar2-Sleep stage W-06,35.346,12.875,7.214,10.844,6.082,68.966,7.637,6.083,6.955,6.112,15.177,1.782,2.285,3.326,2.410,22.976,2.549,3.774,6.618,4.401,115.162,9.282,1.295,6.828,5.333,13546.522,85.406,7.421,8.931,7.050,31.137,8.377,4.251,7.849,5.546,755.086,68.463,30.776,19.789,6.592,3523.694,267.576,80.715,22.949,7.908,3601.267,246.470,73.398,20.024,6.063,459.458,56.501,5.504,16.362,8.344,1224.356,22.423,10.190,13.467,7.426,357.909,20.291,6.781,18.544,9.945,24889.891,5615.797,3116.116,3226.926,870.061
Omar2-Sleep stage W-07,252.975,7.027,17.425,15.628,3.488,243.780,6.771,12.501,11.204,4.265,4.379,1.489,5.439,4.769,3.727,31.231,3.791,14.339,12.007,7.725,354.423,10.149,7.438,6.187,3.182,26157.207,50.112,52.176,13.634,8.326,22.151,12.960,13.725,11.486,4.908,722.975,63.640,16.110,45.345,6.031,4752.051,377.489,98.014,64.780,10.622,3961.145,230.028,27.405,37.231,6.905,11238.350,1345.746,212.594,41.914,5.185,159.959,39.281,28.489,23.107,6.291,1807.770,34.018,36.378,21.760,10.664,65319.615,10079.132,9319.604,4096.551,1809.103
Omar2-Sleep stage W-08,65.948,7.891,8.068,13.183,4.475,283.555,8.844,8.025,17.701,7.476,11.267,1.940,1.902,4.356,1.432,76.000,4.375,4.716,9.961,4.053,347.326,3.642,4.251,4.498,3.525,1646.742,18.859,4.664,14.164,3.649,56.729,9.074,2.326,12.021,5.652,681.358,48.998,28.095,24.196,7.488,2127.692,431.927,90.640,49.175,13.074,2700.923,288.874,37.019,28.054,9.778,6538.873,180.934,22.181,28.871,7.185,3888.360,71.797,18.740,25.941,6.107,3036.659,52.584,15.317,27.141,8.190,315747.635,17844.747,5591.065,3895.717,2047.817
Omar2-Sleep stage W-09,353.696,4.738,10.539,11.594,4.553,38.775,3.099,7.168,10.517,8.403,28.266,1.314,1.537,2.052,3.175,503.032,8.933,12.122,10.097,13.383,41.742,3.252,5.607,10.209,5.800,1699.272,55.710,20.908,26.071,4.542,100.259,11.069,14.718,19.357,7.640,4888.677,107.355,51.003,16.548,8.926,13545.527,856.936,88.695,88.455,10.780,12868.498,573.073,98.019,26.632,9.587,3309.542,89.219,17.142,15.077,6.377,5757.775,71.926,20.228,12.166,7.045,2931.039,33.374,19.246,22.501,16.564,19789.955,3936.733,3588.547,3321.270,879.778
